label,l_elbow,r_elbow,l_shoulder,r_shoulder,l_hip,r_hip,l_knee,r_knee
Bad Tricep,134.40358843210717,144.15780038213373,7.612169279215354,6.321057785361318,176.83892422578424,171.59124630122662,175.79071887667942,174.6705453270417
Bad Tricep,174.3361112356412,174.32244736207508,9.343681909391444,13.282763894772849,174.79973320320508,176.8253097083262,169.32700535560951,166.6586080454789
Bad Curl,122.89873113514349,120.21082507468,19.040596186197785,12.658395288405362,175.25136137585238,174.87377261254377,171.2232304454432,174.4697418717391
Good Tricep,105.39073933581085,104.44998645593647,9.934666944491154,11.044242447881693,181.35562473740512,180.366807173131,183.08903393293022,183.18404950230516
Bad Squat,46.80292040397656,53.44514931751365,8.34159072764485,10.51424301479617,173.22609107142517,173.37293800951352,177.38939063297047,164.65685757148938
Bad Squat,25.99917316489335,19.033365253775017,18.092893195484177,13.460619488872965,179.73873962268453,178.1291469043497,178.87348239973227,179.5261677036208
Good Tricep,158.83111812519604,156.9111859867292,5.169356682012683,7.766546369915692,179.76712622264543,175.91180823368566,178.97678923178492,177.64963815106958
Good Squat,81.29159871976493,26.082962321290278,5.065799719789284,15.046804546015546,183.0533929811192,181.49063252577673,171.81097221744562,173.62418784558588
Bad Squat,173.23338140465202,167.8769951932816,14.320035488988662,18.23935909027997,152.36839631972398,146.61789892548848,152.43664800530905,148.05319611322133
Good Tricep,74.9520546427565,71.03228110039764,8.270013121282737,15.299556685102916,178.36646243447436,179.45987425844024,173.21548040175202,177.6678543598783
Bad Squat,178.5128215430733,135.58282223838438,5.384143978740507,12.302003019995007,169.561182432454,172.04040615159573,168.77995953881577,174.15732446348073
Bad Squat,10.897633100008779,15.914763952296662,17.81408993218477,26.285835540889302,145.72368036030315,135.8906980094872,164.14191779172944,164.43806641674962
Good Curl,37.18995099480704,42.48956386549704,6.34180324830997,4.096035770417614,175.95135626817304,180.7273756397625,181.2002066530172,172.4873523759997
Bad Raise,109.53092336058548,36.49006321239682,63.941473952660935,59.0408694540874,170.68418139128937,172.8251964114943,180.35819047015303,175.18575481247305
Good Squat,33.258297680115525,27.82837941567568,48.073589671764765,30.677632404287525,130.79718787723408,130.07323936691557,139.58139141426935,137.90151935999543
Good Tricep,175.26760002736987,178.69976794106614,12.51804450002645,6.108610333192367,179.49340192090514,178.5212239637003,179.26784397636226,176.07565332833184
Good Curl,2.829277725063759,44.338463283001246,6.450463240637738,23.289230351700994,179.84867962356776,174.43345612484202,178.02871265064456,176.6722861343262
Good Raise,118.21516964033705,128.0237272508748,97.27502827168765,67.93179299016103,172.63904742945934,172.21899658326095,179.231546578248,180.545231812261
Bad Raise,172.69289601096656,185.95716603819093,10.660174032304056,13.415351136619654,176.07737529752202,177.55208932655208,182.15985129319924,176.8762168172899
Bad Squat,25.45972827098737,13.758268537930231,20.05055144097078,13.972139084605878,166.45235529326155,164.46016631050156,163.04983494117994,157.60580066553442
Bad Shoulder,151.3412533846839,154.64977740830918,141.47981615248986,144.7606821939989,176.37715752261732,175.67222996897712,178.405536413982,179.20605849565004
Good Raise,167.19309452389132,171.3169286523521,6.609070477517654,9.699131525768781,172.4446903829753,171.86374316444903,176.94680411812664,184.96924094197954
Good Squat,69.86658271547691,57.55022361957502,15.1709126915124,9.9129119287902,177.57153184639228,175.2526774317088,178.3801009666998,173.79629442274603
Bad Tricep,164.03549899562225,169.78298815679395,13.231339846052215,5.062128445480474,183.006825972993,176.81132144569938,175.43358269265212,178.55161845929692
Good Raise,164.43401875282882,150.90034896960032,33.280015480424666,35.05371630823588,176.75943403967855,169.48748608635364,184.84017681075426,184.57829613507278
Bad Curl,153.7513940972285,151.7155308227492,6.845699912331395,12.310116950166998,164.0240892193044,161.1592172748576,172.95771178304867,168.0899095821251
Bad Curl,77.33329801698041,39.7409872589957,54.88942625200448,18.11800524112227,178.34327376350328,179.89142007663233,178.93486826914184,177.35826673328137
Bad Tricep,165.2726365575617,151.21659858074057,16.32210741145494,24.56244217622743,175.93880203844054,175.0733221136739,175.0320844985617,170.09939291489027
Bad Shoulder,151.3412533846839,154.64977740830918,141.47981615248986,144.7606821939989,176.37715752261732,175.67222996897712,178.405536413982,179.20605849565004
Bad Squat,9.252142359902312,22.99354726190915,19.14412168131736,23.16305077122105,179.49296219555143,177.7205919369717,179.81472195099744,179.82812678909272
Good Curl,35.044561184490085,14.91620830222088,2.0546892156114085,0.0965783460786607,177.6556879647026,179.05860634137693,179.48480245530783,176.96424912114554
Bad Curl,55.839950497487706,73.73508916615839,60.313439181510255,79.35257201235834,182.9803330023658,177.52074829874292,174.40598431805523,172.7772400125584
Good Curl,153.49263713887774,150.29461858026167,0.0,1.1626347196996916,170.70716590419207,174.2750054216833,179.21926348414775,174.95194206370363
Bad Raise,56.883114129678546,16.882924017951048,9.141245043050136,30.682815114327006,173.5704969388698,175.95752964314516,175.3054039028321,182.47759406669138
Good Raise,172.6643372535157,170.75742299879013,11.984219213906318,6.95793637877633,173.09463285647877,170.636545275882,184.75217018129266,181.79078786968816
Good Squat,16.417359479242887,25.12933941674331,12.067980895574529,32.56270654573703,184.04517147758983,181.65606720555778,174.0894095319632,182.40614571373496
Good Shoulder,145.6105503141922,141.04546934239946,164.8319935939584,156.99096953608108,181.21126205621584,177.83547731466328,174.91395189202882,176.8731718750174
Bad Squat,21.26614065035269,13.784857313197646,17.362332815277057,20.580905852531437,151.75067009243674,157.22002765535393,148.4817355025534,150.83561337402512
Good Tricep,168.15126883411335,167.93613859838956,8.869242206185604,6.823586461926143,170.5375005948653,174.34542709310583,167.87254581193196,172.1374201783431
Bad Shoulder,165.91676519023346,162.32493043956,179.92386893541715,173.31828135646907,178.0623778399659,177.43885666702084,179.2316467496691,178.82513426718418
Bad Squat,181.54325669292015,106.29272432015134,11.650483459203768,2.38048147436327,166.20482148447923,169.91533351464014,174.45757795568684,177.90819839307645
Good Squat,33.873129019044406,39.05886074687216,19.933964446586707,26.682589899743682,172.8353128519714,172.2138498548611,168.06078375919185,167.35684647584657
Good Tricep,173.4852758694202,178.59447800084067,0.43556538843564385,3.4597882378954243,175.1361473037625,172.03776241366563,163.70698644592525,163.70708547452065
Good Tricep,153.43710293861972,148.91902731772106,4.395632586110428,6.981189268401837,179.59624150471697,176.03680619791436,178.9593904627352,173.58163087190442
Bad Shoulder,175.16413042293593,173.38391673174758,170.8225534634522,168.6714060896441,174.95705298976856,177.72748032771958,173.91619639036205,181.33078937010202
Good Tricep,171.60733379835696,166.75347125028603,7.547289277754984,5.873666398263761,174.3581906354874,173.53130442509766,179.75867921456995,179.0216105600463
Bad Squat,18.910209325912994,8.448028449739287,23.05808755437984,4.045226032836434,158.91550958685133,164.2875697462127,173.37737993338692,182.85419791235103
Bad Curl,88.7436034701725,89.8986382928487,1.4961356685417968,12.10744125654034,177.71353864346122,171.74631782047763,178.02920252829065,170.78910823760046
Bad Curl,68.93931683530175,53.5900730588465,115.92393020019338,69.49220030601928,179.8888138614727,169.95285131547885,166.05679485058073,173.4690713654215
Good Shoulder,150.86310891849766,147.66086841217094,168.6675671310451,161.6418029122569,178.23973251422578,179.01905911509672,179.32978037231598,179.94710948671022
Bad Squat,45.37898640439451,11.304920812641292,24.198456017380465,13.060064535861418,172.72344194692042,172.91776230932012,172.3461208832048,178.17954429747272
Bad Raise,174.22428019839714,165.70025514327745,18.14132509922426,16.283884454977056,168.02016613879945,168.81610666983957,177.1330714626535,176.03426759801752
Good Squat,29.635443021968,25.1726295987662,30.930885133628525,40.64022560486087,148.32800486628656,148.44174563808423,158.28250179812645,152.83808345025787
Good Curl,126.82540435171225,145.56264080189186,0.6003012405340762,1.6656212776008081,171.8078073946451,176.04106933203988,172.1108515243278,176.6385270383529
Bad Raise,161.25068323375828,34.333928263107715,9.247741713485443,9.66503859877388,175.61703300551181,177.51503302180876,177.16965737408734,177.25195804418775
Bad Curl,168.0341714970914,179.366031804241,6.774842831319907,10.666234794786892,173.9026476821942,174.33906739971962,173.81354974131534,176.94248328135396
Bad Shoulder,144.8078593466955,87.7646800490948,142.78792260835976,110.37886753143248,168.93462902018715,178.34748984332495,184.11069572503752,172.2177004034089
Bad Raise,5.288752273022798,150.231987108555,52.4393198932704,62.7222232101408,171.15399474763336,172.15083608271303,175.13334280169545,174.81487416068452
Good Shoulder,86.51138146833316,110.98700948575184,87.61328715321223,126.0859851172405,180.98323102678694,160.69812802575763,147.68865796441023,157.48545610579785
Bad Curl,8.009375938210084,70.18624635250438,55.99945339995701,84.35824121040302,178.00485633426828,170.58665682216267,177.9547936079987,176.2850928754951
Bad Raise,150.4632429719901,177.45693201847644,141.92767342278867,11.956576329799171,172.18032843273855,175.62901708674812,176.39436276085746,178.43302191496656
Good Squat,1.830003590636981,11.222991363549252,45.36100208515854,19.82854448560922,167.4254369243932,165.87709194598008,173.98751776519015,167.63809953305724
Good Tricep,176.16942275211014,175.02388683851257,4.293956603512157,8.057605573748166,179.11050224438662,173.74075214797583,170.1543867148266,175.55432901095952
Good Curl,7.531386586103433,9.42023105810487,10.755415278550492,6.940141813830477,181.2637669952728,172.90047171049318,181.81297391419983,179.1801964032441
Bad Tricep,176.36247421341466,173.8828896157232,11.241097658709757,14.881799503949416,179.36693201580178,174.68819020323755,177.74468549207194,173.9249476000886
Good Squat,27.65707623065077,39.422960977431146,36.22325057623138,44.814897353514,112.06085034309204,113.86256163212249,118.58199896333285,116.47039110059474
